station_id,StationName,AvailableDocks,TotalDocks,latitude,longitude,StatusValue,StatusKey,AvailableBikes
3401,2 Ave & 9 St,1,19,40.6724811,-73.99331394,In Service,1,18
3402,Court St & State St,1,23,40.6902375,-73.99203074,In Service,1,21
3403,4 Ave & 9 St,0,31,40.6705135,-73.98876585,In Service,1,27
3404,7 St & 5 Ave,3,27,40.6704922,-73.98541675,In Service,1,24
3405,5 St & 6 Ave,6,23,40.6704836,-73.98208968,In Service,1,17
3407,Union St & Nevins St,0,23,40.679098,-73.98765475,In Service,1,22
3408,Congress St & Clinton St,5,27,40.6881529,-73.99520919,In Service,1,21
3409,Bergen St & Smith St,4,35,40.6867443,-73.99063168,In Service,1,31
3410,Dean St & Hoyt St,3,31,40.6864442,-73.98759104,In Service,1,24
3411,Bond St & Bergen St,4,27,40.6849668,-73.98620772,In Service,1,23
3412,Pacific St & Nevins St,0,18,40.6853761,-73.98302136,In Service,1,18
3413,Wyckoff St & 3 Ave,7,22,40.6827549,-73.98258555,In Service,1,15
3414,Bergen St & Flatbush Ave,0,33,40.68094472,-73.97567332,In Service,1,33
3415,Prospect Pl & 6 Ave,2,25,40.6793307,-73.97519523,In Service,1,23
3416,7 Ave & Park Pl,0,25,40.6776147,-73.97324283,In Service,1,24
3417,Baltic St & 5 Ave,6,27,40.6795766,-73.97854971,In Service,1,21
3418,Plaza St West & Flatbush Ave,1,33,40.6750207,-73.97111473,In Service,1,31
3419,Douglass St & 4 Ave,2,27,40.6792788,-73.98154004,In Service,1,25
3420,Douglass St & 3 Ave,6,21,40.6802133,-73.98432695,In Service,1,15
3422,Columbia St & Degraw St,6,21,40.6859296,-74.00242364,In Service,1,14
3423,West Drive & Prospect Park West,7,29,40.66106337,-73.97945255,In Service,1,22
3424,E 106 St & Lexington Ave,3,27,40.791976,-73.945993,In Service,1,22
3425,2 Ave & E 104 St,2,33,40.7892105,-73.94370784,In Service,1,30
3427,Lafayette St & Jersey St,18,40,40.72430527,-73.99600983,In Service,1,18
3429,Hanson Pl & Ashland Pl,16,39,40.68506807,-73.9779076,In Service,1,22
3430,Richardson St & N Henry St,13,25,40.71907891,-73.9422369,In Service,1,11
3431,E 35 St & 3 Ave,1,3,40.746524,-73.977885,Not In Service,3,0
3434,W 88 St & West End Ave,12,35,40.79025417,-73.9771834,In Service,1,23
3435,Grand St & Elizabeth St,37,45,40.718822,-73.99596,In Service,1,3
3437,Riverside Dr & W 91 St,34,39,40.79313481,-73.97700369,In Service,1,5
3440,Fulton St & Adams St,24,43,40.69241829,-73.98949474,In Service,1,16
3449,Eckford St & Engert Ave,10,18,40.72146256,-73.94800901,In Service,1,7
3452,Bayard St & Leonard St,30,43,40.71915572,-73.94885391,In Service,1,11
3453,Devoe St & Lorimer St,8,19,40.71335226,-73.94910336,In Service,1,10
3454,Leonard St & Maujer St,19,24,40.71036854,-73.94705951,In Service,1,3
3456,Jackson St & Leonard St,17,22,40.71638032,-73.94821286,In Service,1,5
3458,W 55 St & 6 Ave,9,40,40.76309387,-73.97835016,In Service,1,31
3459,E 53 St & 3 Ave,23,34,40.75763228,-73.96930575,In Service,1,10
3461,Murray St & Greenwich St,3,33,40.71485151,-74.01122332,In Service,1,30
3463,E 16 St & Irving Pl,17,37,40.73536706,-73.98797393,In Service,1,20
3466,W 45 St & 6 Ave,4,34,40.75668721,-73.98257732,In Service,1,28
3467,W Broadway & Spring Street,3,42,40.72494672,-74.00165856,In Service,1,37
3469,India St & West St,0,23,40.73181402,-73.95995021,In Service,1,23
3472,W 15 St & 10 Ave,13,39,40.74275383,-74.00747359,In Service,1,25
3477,39 St & 2 Ave - Citi Bike HQ at Industry City,0,33,40.65539977,-74.01062787,In Service,1,32
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,35,43,40.65708867,-74.00870204,In Service,1,8
3481,York St,16,22,40.71649,-74.04105,In Service,1,6
3483,Montgomery St,4,14,40.71942,-74.05099,In Service,1,10
3486,Schermerhorn St & Bond St,12,30,40.68841743,-73.98451656,In Service,1,16
3490,E 116 St & 2 Ave,4,31,40.796879,-73.937261,In Service,1,27
3491,E 118 St & 1 Ave,8,24,40.79747,-73.93504,In Service,1,15
3492,E 118 St & Park Ave,23,27,40.8005385,-73.9419949,In Service,1,4
3493,E 118 St & 3 Ave,7,31,40.799139,-73.9389152,In Service,1,23
3494,E 115 St & Lexington Ave,4,25,40.797911,-73.9423,In Service,1,20
3495,E 114 St & 1 Ave,0,26,40.7945663,-73.9362541,In Service,1,23
3496,1 Ave & E 110 St,2,25,40.7923272,-73.9383,In Service,1,23
3497,Pleasant Ave & E 116 St,2,23,40.7949879,-73.9333349,In Service,1,21
3498,Pleasant Ave & E 120 St,2,21,40.7974772,-73.9311847,In Service,1,18
3499,2 Ave & E 122 St,23,25,40.8006721,-73.9349,In Service,1,1
3500,E 115 St & Madison Ave,7,31,40.7989445,-73.944846,In Service,1,24
3501,E 118 St & Madison Ave,25,29,40.8014866,-73.9442507,In Service,1,3
3502,Lexington Ave & E 111 St,1,29,40.7954121,-73.9441232,In Service,1,28
3503,Madison Ave & E 120 St,7,30,40.80295,-73.942954,In Service,1,22
3504,E 123 St & Lexington Ave,1,27,40.8029263,-73.9379,In Service,1,26
3505,Lexington Ave & E 127 St,25,33,40.805726,-73.936322,In Service,1,8
3506,Lexington Ave & E 120 St,24,29,40.8013066,-73.9398167,In Service,1,5
3507,Park Ave & E 124 St,19,36,40.8045555,-73.9396861,In Service,1,17
3508,St Nicholas Ave & Manhattan Ave,9,31,40.809725,-73.953149,In Service,1,22
3509,Lenox Ave & W 115 St,4,31,40.8011939,-73.9500739,In Service,1,27
3510,Adam Clayton Powell Blvd & W 123 St,22,31,40.8078316,-73.949373,In Service,1,9
3511,Adam Clayton Powell Blvd & W 115 St,5,22,40.802535,-73.9532423,In Service,1,14
3512,27 Ave & 4 St,13,19,40.7747175,-73.9337894,In Service,1,6
3513,21 St & Hoyt Ave S,14,21,40.774645,-73.923706,In Service,1,6
3514,Astoria Park S & Shore Blvd,17,23,40.7767,-73.927631,In Service,1,6
3515,24 Ave & 26 St,7,19,40.774591,-73.918544,In Service,1,12
3516,31 St & Astoria Blvd,30,31,40.7699176,-73.9184057,In Service,1,1
3517,31 St & Hoyt Ave N,31,35,40.7711528,-73.9170074,In Service,1,4
3518,Lenox Ave & W 126 St,1,34,40.808442,-73.9452087,In Service,1,33
3520,Adam Clayton Powell Blvd & W 118 St,8,27,40.804372,-73.951475,In Service,1,18
3521,Lenox Ave & W 111 St,23,36,40.7987859,-73.9523,In Service,1,13
3522,37 St & 24 Ave,17,19,40.7701477,-73.9120938,In Service,1,2
3523,24 Ave & 29 St,24,25,40.7729,-73.916142,In Service,1,0
3524,19 St & 24 Ave,21,23,40.7774552,-73.9225403,In Service,1,2
3525,23 Ave & 27 St,20,21,40.776165,-73.9153175,In Service,1,1
3526,31 St & 23 Ave,16,27,40.7747878,-73.9125551,In Service,1,11
3527,5 Ave & E 126 St,19,27,40.80698,-73.941747,In Service,1,8
3528,Steinway St & 23 Ave,18,21,40.7713937,-73.9077436,In Service,1,3
3529,Lenox Ave & W 130 St,3,25,40.8107922,-73.9430681,In Service,1,21
3530,Crescent St & Ditmars Blvd,18,19,40.7787185,-73.9145645,In Service,1,0
3531,Frederick Douglass Blvd & W 129 St,10,27,40.8125511,-73.9492286,In Service,1,17
3532,Ditmars Blvd & 19 St,24,27,40.78145,-73.9183302,In Service,1,2
